Va_rms_pre,Va_rms_flt,Vb_rms_flt,Vc_rms_flt,Va_sag,Vb_sag,Vc_sag,Ia_rms_flt,Ib_rms_flt,Ic_rms_flt,Ia_peak,Ib_peak,Ic_peak,I_max_peak,Va_H2,Va_H3,Va_H5,Ia_H2,Ia_H3,Ib_H2,Ib_H3,Va_thd,Ia_thd,V0_ratio,V2_ratio,V_imbalance,I_imbalance,Ib_Ia_ratio,Ic_Ia_ratio,fault_bus,fault_type,label,Rf_pu
1.03318,0.05212,0.05195,0.05265,0.94956,0.94971,0.94902,0.79159,0.79183,0.7916,1.12399,1.12644,1.12375,1.12644,0.00967,0.00556,0.00418,0.00057,0.00011,0.00054,0.00118,0.02047,0.00184,0.0,0.0,0.00791,0.00019,1.0003,1.00001,1,Three_Phase,1,0.007848
1.03329,0.0524,0.05169,0.05207,0.94929,0.94996,0.94958,0.7917,0.79214,0.7918,1.12757,1.13059,1.1307,1.1307,0.0098,0.00987,0.00755,0.00098,0.00051,0.00022,0.00037,0.03014,0.00194,0.0,0.0,0.00697,0.00033,1.00057,1.00014,1,Three_Phase,1,0.008859
1.03302,0.05235,0.05203,0.05168,0.94932,0.94964,0.94996,0.79128,0.79186,0.79219,1.13155,1.12987,1.12908,1.13155,0.00925,0.00098,0.00997,0.00064,0.00011,0.00032,0.00072,0.0266,0.0018,0.0,0.0,0.00648,0.00063,1.00074,1.00115,1,Three_Phase,1,0.01
1.033,0.05169,0.0521,0.05147,0.94996,0.94955,0.95016,0.79215,0.79183,0.79165,1.13292,1.12646,1.12483,1.13292,0.00735,0.00634,0.01207,0.00106,0.00052,0.00065,0.00024,0.02577,0.00229,0.0,0.0,0.00676,0.00035,0.99959,0.99937,1,Three_Phase,1,0.011288
1.03273,0.05273,0.05167,0.05144,0.94894,0.94996,0.95016,0.79144,0.79166,0.79163,1.12759,1.12289,1.12635,1.12759,0.00399,0.00839,0.01035,0.00021,0.00076,0.00062,0.00069,0.02399,0.00151,0.0,0.0,0.015,0.00018,1.00029,1.00025,1,Three_Phase,1,0.012743
1.03275,0.0513,0.05192,0.05234,0.95033,0.94973,0.9493,0.79141,0.79147,0.79188,1.12515,1.12955,1.1245,1.12955,0.01488,0.0032,0.01274,0.00039,0.00047,6e-05,0.00023,0.02251,0.00135,0.0,0.0,0.01078,0.00037,1.00008,1.00059,1,Three_Phase,1,0.014384
1.03309,0.05177,0.05203,0.05271,0.94989,0.94964,0.94897,0.79186,0.7913,0.79196,1.12661,1.12674,1.12364,1.12674,0.00672,0.00131,0.00607,0.00023,0.00024,0.0002,0.00033,0.01413,0.00149,0.0,0.0,0.01038,0.00051,0.9993,1.00013,1,Three_Phase,1,0.016238
1.03292,0.05226,0.05216,0.0523,0.94941,0.94949,0.94936,0.79172,0.79116,0.79204,1.12783,1.12726,1.12537,1.12783,0.00919,0.02452,0.01251,0.00094,0.00026,0.0004,0.00103,0.03367,0.00172,0.0,0.0,0.00147,0.00061,0.99929,1.00041,1,Three_Phase,1,0.01833
1.03233,0.05191,0.05211,0.05153,0.94971,0.94954,0.95012,0.79187,0.7919,0.7913,1.12542,1.12529,1.12779,1.12779,0.00786,0.01494,0.00946,0.00054,0.00061,0.00011,0.0004,0.02871,0.00147,0.0,0.0,0.00621,0.00049,1.00004,0.99928,1,Three_Phase,1,0.020691
1.03243,0.05218,0.05179,0.0518,0.94946,0.94985,0.94983,0.79202,0.79113,0.79152,1.12665,1.12713,1.12795,1.12795,0.00478,0.00685,0.00882,0.00084,0.00021,0.00039,0.00016,0.02268,0.00163,0.0,0.0,0.00496,0.00059,0.99888,0.99936,1,Three_Phase,1,0.023357
